year,region_name,road_name,road_type,start_junction_road_name,end_junction_road_name,latitude,longitude,link_length_km,pedal_cycles,all_motor_vehicles
2019,London,A598,Major,A504,A5000,51.598582,-0.19666259,0.5,230,16487
2019,London,A1000,Major,A598,A109/A5109,51.621651,-0.17653458,1.7,327,19381
2019,London,A1006,Major,A503,A104,51.585253,-0.03840685,2.4,344,13446
2019,London,A1010,Major,A10,A109,51.596539,-0.06824159,0.5,390,14540
2019,London,A1240,Major,A1306,A124,51.544221,0.14789352,2.8,97,11661
2019,London,A1200,Major,B102,A104,51.539403,-0.09373465,0.7,2176,15938
2019,London,A1201,Major,A1199,A503,51.548469,-0.09825962,2.2,889,15628
2019,London,A1205,Major,A13/A1261,A11,51.520401,-0.03211374,1.6,766,14890
2019,London,A2022,Major,A167,LA Boundary,51.357612,-0.03091138,1.8,33,22006
2019,London,A2205,Major,A200,A200,51.503256,-0.08285182,0.3,655,5341
2019,London,A2210,Major,A2/A2209,A20 Loampit Vale,51.466188,-0.01688228,1.6,750,7682
2019,London,A2211,Major,A20,LA Boundary,51.466088,-0.01098368,0.7,358,14415
2019,London,A3003,Major,A316,A306,51.468813,-0.27377304,2.9,341,16547
2019,London,A3004,Major,LA Boundary,A310,51.467391,-0.32450521,0.7,404,13469
2019,London,A3036,Major,A202/A203,A3203,51.490412,-0.12271606,0.9,3942,20730
2019,London,A3036,Major,A3220,LA Boundary,51.464905,-0.15874727,0.8,514,17078
2019,London,A3044,Major,A4(T),A408,51.489493,-0.47465009,2.2,88,11552
2019,London,A200,Major,A100,Druid St,51.503156,-0.07896558,0.2,2592,8211
2019,London,A3202,Major,A300,A3,51.499191,-0.09829457,0.2,889,10735
2019,London,A3203,Major,A23,A302,51.497197,-0.10846248,0.3,1415,12013
2019,London,A3205,Major,A3220,A3220,51.472748,-0.16285207,0.2,1126,20012
2019,London,A3212,Major,A3203,Parliament Square,51.497276,-0.12570444,0.7,5488,15655
2019,London,A3220,Major,A3220 Edith grove,A3212,51.481194,-0.17681373,0.5,3415,32059
2019,London,A3216,Major,A3036,A3205,51.468368,-0.15025709,1.3,2070,10233
2019,London,A3217,Major,A3220,A3216,51.486069,-0.17229825,1.6,1265,19793
2019,London,A3218,Major,A3220,A4,51.490517,-0.18652518,1.6,1154,14675
2019,London,A3220,Major,LA Boundary,A3220 Prince of Wales Drive,51.480486,-0.17180138,0.8,3363,27268
2019,London,A4000,Major,A406,High St,51.506285,-0.27812111,1.1,369,13718
2019,London,A4005,Major,LA Boundary,A4089,51.538976,-0.29995946,0.6,193,26160
2019,London,A4020,Major,LA Boundary,Wood Lane / Shepherd's Bush Green,51.505513,-0.22627641,1.5,1888,16201
2019,London,A4020,Major,A3002,A4001,51.508526,-0.34000071,0.3,383,22801
2019,London,A4090,Major,A312,A404,51.579494,-0.36700305,3.5,104,21188
2019,London,A4127,Major,LA Boundary,A4005,51.56103,-0.33289597,0.7,154,17679
2019,London,A4201,Major,A5204,A501,51.519543,-0.1450133,0.8,1171,15382
2019,London,A5200,Major,Euston Rd,A5203,51.531776,-0.12260085,0.3,671,11280
2019,London,A5201,Major,A1202,A10/A1208,51.527209,-0.07939496,0.2,2318,20712
2019,London,A5201,Major,Gray's Inn Rd,LA Boundary,51.522023,-0.10887542,0.4,3397,11705
2019,London,A125,Major,A1306,A1112,51.529056,0.18985587,1.9,50,22302
2019,London,A1153,Major,A13(T)/A123,A124,51.544703,0.1213788,2.8,96,14760
2019,London,A3214,Major,B302,A3213,51.491729,-0.14902356,0.9,526,11830
2019,London,A4125,Major,A404,LA Boundary,51.613868,-0.41265327,1.2,38,13834
2019,London,A102,Major,A106,A107,51.548922,-0.03997002,1.6,421,21038
2019,London,A3220,Major,A3218,A4,51.492009,-0.19290511,0.7,702,27603
2019,London,A41,Major,A41,A5205,51.527497,-0.16472899,0.7,249,26161
2019,London,A4089,Major,A404,A479,51.561774,-0.2846823,1.5,32,8915
2019,London,A437,Major,A4020,A40,51.542384,-0.44991017,2.2,8,14174
2019,London,A2198,Major,A2,A2205,51.49898,-0.08533648,0.8,730,13088
2019,London,A233,Major,"Churchill Way, Biggin Hill",Downe Road,51.339475,0.03062361,3.6,66,19204
2019,London,A23,Major,A3202,A3036/A3200 roundabout,51.499532,-0.11384076,0.5,1608,16914
2019,London,M4,Major,4,A408,51.496798,-0.45295527,0.2,0,59242
2019,London,A308,Major,A2043,A238,51.411273,-0.29111163,0.2,741,20662
2019,London,A232,Major,A212,A222,51.372404,-0.09062187,0.5,74,30259
2019,London,A5203,Major,A5200,Caledonian Rd,51.533533,-0.12061088,0.3,376,7309
2019,London,A2,Major,A20,A20,51.474938,-0.03450302,0.1,683,11496
2019,London,A3205,Major,A3036,A203,51.484374,-0.12531171,0.2,637,38033
2019,London,A205,Major,A3,A205 The Avenue,51.459782,-0.15895344,0.5,319,20384
2019,London,A3220,Major,A3220 Battersea Bridge Rd,A3031,51.474903,-0.16554465,0.3,595,13382
2019,London,A205,Major,A205,A21,51.446071,-0.01847356,0.2,84,18530
2019,London,A118,Major,A11 Great Eastern Rd,A112 Tramway Ave,51.539978,0.00028325,0.2,892,32226
2019,London,A2205,Major,A2198,A200,51.499635,-0.0814189,0.5,647,2746
2019,London,A5200,Major,Acton St,Swinton St,51.528395,-0.11927987,0.1,1526,12959
2019,London,A201,Major,Gray's Inn Rd,King's Cross Road,51.528336,-0.11841728,0.3,653,8792
2019,London,A4,Major,Pall Mall,Piccadilly Circus,51.508574,-0.1337863,0.3,1627,14153
2019,London,A404,Major,A404 Craven Park Road,A404 High Street Harlesden,51.537387,-0.24695518,0.5,242,13932
2019,London,A400,Major,A40,A5204,51.518349,-0.13208953,0.5,2442,7829
2019,London,A212,Major,A212 Coombe Rd,A232 Croydon Flyover,51.368605,-0.09644037,0.7,68,18271
2019,London,A306,Major,LA Boundary,A4,51.48893,-0.22980087,0.4,966,22485
2019,London,A103,Major,A503,B540,51.572379,-0.12554625,1.8,530,12176
2019,London,A5201,Major,A501,A1202,51.526181,-0.08521917,0.2,4165,39307
2019,London,A3,Major,A2043,A298,51.396702,-0.24770987,0.6,65,114390
2019,London,A216,Major,LA Boundary,LA Boundary,51.423286,-0.14272857,1,231,16745
2019,London,A202,Major,A3204,Durham St,51.485705,-0.12082088,0.3,1235,15493
2019,London,A200,Major,Druid St,A2205,51.503834,-0.08083907,0.3,4737,8140
2019,London,A2216,Major,A2214,A2214,51.460058,-0.07530562,0.1,704,18688
2019,London,A3220,Major,A3205/A3220,A3220,51.473849,-0.16309583,0.2,113,3366
2019,London,A206,Major,A206 Pettman Crescent,A206 Pettman Crescent,51.490374,0.08395162,0.2,343,30060
2019,London,A2209,Major,A2,LA Boundary,51.475304,-0.02365826,0.9,1200,20101
2019,London,A20,Major,A20 Amersham Rd,A2 Parkfield Rd,51.474027,-0.03382217,0.2,516,11568
2019,London,A13,Major,A126,A101,51.512791,-0.0400801,0.2,989,26688
2019,London,A404,Major,A219,La Boundary,51.530551,-0.22890776,1.7,369,14738
2019,London,A2022,Major,LA Boundary,LA Boundary,51.335133,-0.16395135,2,33,26749
2019,London,A219,Major,LA Boundary,A3(T),51.442522,-0.22339383,1.2,571,28111
2019,London,A312,Major,A313,LA Boundary,51.433957,-0.37041376,0.9,163,27872
2019,London,A201,Major,LA Boundary,A5201,51.521627,-0.10658549,0.4,3525,14016
2019,London,A1201,Major,A503,LA Boundary,51.568912,-0.11125915,1.7,583,10566
2019,London,A40,Major,LA Boundary,slip roads to A219,51.514409,-0.24319672,1.4,43,86832
2019,London,A3,Major,A200,LA Boundary,51.507027,-0.08802528,0.2,7200,19414
2019,London,A309,Major,A243,A3(T),51.375672,-0.30601584,0.3,111,15435
2019,London,A404,Major,A312,A4005,51.579762,-0.34185167,0.1,123,35091
2019,London,A3008,Major,A308,A311,51.413698,-0.3621321,0.4,129,3629
2019,London,A118,Major,A116,A406,51.555172,0.06127776,0.9,551,39703
2019,London,A217,Major,A217/A3,A217,51.458047,-0.19479378,0.2,343,10257
2019,London,A124,Major,Rom Valley Way,Upper Rainham Road roundabout,51.565693,0.18746035,0.3,189,36480
2019,London,A205,Major,A210,A2,51.456202,0.04098194,0.8,136,43064
2019,London,A223,Major,A224/A20,A211,51.413619,0.11961877,1.1,49,32523
2019,London,A110,Major,LA Boundary,A1055,51.637036,-0.01620116,1.6,226,20088
2019,London,A23,Major,A22,A23 Foxley Lane,51.339068,-0.11727644,0.2,47,19889
2019,London,A3211,Major,Fish St Hill,LA Boundary,51.509305,-0.08490362,0.6,3546,27743
2019,London,A300,Major,LA Boundary,A3211,51.509725,-0.09353265,0.2,5767,7397
2019,London,A307,Major,A308 Sopwith rd,A307 Kingsagte Rd,51.413791,-0.30043691,0.1,545,13232
2019,London,A213,Major,A215,A213 Penge Rd,51.400198,-0.07178143,0.4,41,6088
2019,London,A4005,Major,A4127,A312,51.56858,-0.3421431,1.4,45,14320
2019,London,A207,Major,A207 Roman Way,A2000,51.451587,0.17751039,0.1,162,19381
2019,London,A221,Major,A207 Albion Rd,A207 Arnsberg Way,51.457311,0.14510617,0.7,81,13530
2019,London,A21,Major,A222,A2212,51.408064,0.01654973,0.5,195,30819
2019,London,A1206,Major,Ferry Street,A1261,51.492084,-0.00610688,2.8,675,7741
2019,London,A217,Major,A236,A216,51.407339,-0.16364872,0.7,478,20982
2019,London,M4,Major,LA Boundary,4,51.494616,-0.4744791,2.7,0,161807
2019,London,A1,Major,A104 Islington Green,A1201 St Paul's Road,51.539544,-0.10238104,1.3,1829,11646
2019,London,A1,Major,LA Boundary,A1000 Cherry Tree Hill,51.574345,-0.1417728,1.8,726,25104
2019,London,A2,Major,A2209,LA Boundary,51.474385,-0.0230068,0.1,725,43549
2019,London,A3,Major,A201,A300,51.496159,-0.09986144,0.2,2621,13227
2019,London,A3,Major,A203,A202,51.479496,-0.1149555,1.3,5949,24148
2019,London,A3,Major,A3 Marcilly rd,B229,51.460142,-0.17045515,0.9,627,16692
2019,London,A3,Major,A243,A240,51.373396,-0.29173205,1.9,0,119724
2019,London,A4,Major,Northumberland Ave,A301,51.510189,-0.12233551,0.7,2840,18238
2019,London,A4,Major,A306,A219,51.491111,-0.22539491,0.7,4459,75013
2019,London,A4,Major,A3005,A310,51.482073,-0.34528192,2.5,304,39828
2019,London,A4,Major,A408,A437,51.481115,-0.44612686,1.1,96,18819
2019,London,A5,Major,LA Boundary,LA Boundary,51.601185,-0.26803602,0.8,221,24512
2019,London,A302,Major,A3217,A4,51.499817,-0.14869588,0.6,1100,56129
2019,London,A10,Major,A1055,M25,51.681672,-0.05044386,0.6,18,56114
2019,London,A10,Major,A1010,A109,51.59661,-0.07257014,0.6,214,14648
2019,London,A10,Major,A104,Evering Rd,51.548098,-0.07548652,1.3,3428,11971
2019,London,A10,Major,Houndsditch,LA Boundary,51.517601,-0.0802316,0.6,6046,23578
2019,London,A104,Major,Whitehall  Road,A121,51.619923,0.02751751,0.3,347,20713
2019,London,A11,Major,A1202/A13 mid-junction,A107,51.517549,-0.06610854,1.1,1351,18113
2019,London,A12,Major,A406,A123/A1400,51.576603,0.06224731,1.7,54,27505
2019,London,A13,Major,A112,A117,51.520156,0.04528157,2,314,128087
2019,London,A13,Major,A101,A1261,51.512524,-0.03432676,0.8,610,31142
2019,London,A20,Major,A2211,A2212,51.458718,-0.00065174,1.8,613,23697
2019,London,A20,Major,LA Boundary,A223,51.42891,0.08436158,2.3,37,39343
2019,London,A21,Major,M25,A223,51.344937,0.10926815,3.7,169,31417
2019,London,A23,Major,A3203,A3202,51.497432,-0.11191044,0.3,4007,13172
2019,London,A23,Major,A235,LA Boundary,51.404937,-0.11989226,2.4,520,20816
2019,London,A24,Major,A214,LA Boundary,51.450345,-0.14781936,2.1,2174,18771
2019,London,A219,Major,A238,A24,51.41507,-0.19238867,0.4,360,21429
2019,London,A402,Major,A4206,A4204 roundabout,51.50914,-0.19587324,0.2,1702,27484
2019,London,A40,Major,A4000,A4000,51.520641,-0.26316557,0.2,248,75714
2019,London,A40,Major,A437,A4180,51.54832,-0.41499319,2.5,83,106957
2019,London,A41,Major,A5150,M1,51.595549,-0.23374389,1.5,37,47704
2019,London,A41,Major,Adelaide Road roundabout,A598,51.549797,-0.18200533,2.5,340,42988
2019,London,A4380,Major,A501,A41 Park Rd,51.522477,-0.16002974,0.5,466,15451
2019,London,A100,Major,A200,LA Boundary,51.504051,-0.07647839,0.4,4173,29898
2019,London,A103,Major,A503,A503,51.559523,-0.11453354,0.3,1188,15169
2019,London,A104,Major,A1207,A107,51.547095,-0.06918278,0.9,1719,17546
2019,London,A1055,Major,A10,A1010,51.680116,-0.04877489,1.2,75,20447
2019,London,A105,Major,LA Boundary,A406,51.611598,-0.10948782,0.5,400,14006
2019,London,A107,Major,A106,A106,51.538753,-0.05684605,0.5,773,17457
2019,London,A109,Major,A105,A1080,51.598155,-0.09560716,1.3,182,18087
2019,London,A110,Major,Also Whitehall Road  coveres this A Junction,LA Boundary,51.625608,0.02112493,1.1,60,12797
2019,London,A110,Major,A110 Cecil Rd,A1005,51.6536,-0.09328395,0.8,59,18796
2019,London,A111,Major,A105,A1004,51.63124,-0.12312072,1.9,70,21777
2019,London,A112,Major,A1009  NEW  ROAD,A1037,51.61907,-0.01730263,2,100,11309
2019,London,A112,Major,A114,A124,51.528396,0.02647603,0.9,510,18079
2019,London,A114,Major,A112,A118,51.537461,0.02226429,2,208,13512
2019,London,A117,Major,A13,A124,51.527877,0.05629619,1.5,208,16689
2019,London,A123,Major,A124,A13(T),51.535029,0.08920623,2.2,54,15058
2019,London,A125,Major,A118,A12,51.580538,0.17789627,0.9,76,24469
2019,London,A200,Major,A101,A2208,51.494343,-0.04951528,0.8,1637,19104
2019,London,A201,Major,A5201,A401,51.523731,-0.10880468,0.4,3225,18188
2019,London,A201,Major,A3202,A3200,51.504059,-0.10457606,0.9,3673,15449
2019,London,A202,Major,A215,Rye Lane,51.473638,-0.08639777,1.7,2550,21257
2019,London,A204,Major,A205,Morval Road roundabout,51.449787,-0.11286924,2.1,669,15343
2019,London,A205,Major,A207 Shooters Hill Rd,A205 John Wilson St,51.482807,0.06233358,1.9,167,18920
2019,London,A205,Major,A205 Plassy Road,A2212,51.445239,-0.00124057,2.2,117,23997
2019,London,A205,Major,A23,A204/A215 roundabout,51.44301,-0.1164583,1.4,258,26855
2019,London,A205,Major,A305,B306,51.464229,-0.27394601,2.3,1172,25310
2019,London,A206,Major,Charlton Church Lane,A2204,51.493666,0.0585018,2.3,304,30622
2019,London,A207,Major,A102/A2,A205,51.47343,0.04319081,2.2,188,18151
2019,London,A210,Major,A205,A208,51.452403,0.04225181,1.2,235,13017
2019,London,A211,Major,A2001,A224,51.420757,0.11275735,1.2,70,17373
2019,London,A212,Major,LA Boundary,A234,51.42629,-0.07255329,0.3,476,28817
2019,London,A213,Major,A234,LA Boundary,51.421816,-0.05217327,1.3,76,7214
2019,London,A213,Major,A235,A222,51.38349,-0.10596894,0.3,103,11555
2019,London,A214,Major,A24,LA Boundary,51.432619,-0.15285235,1.6,677,21447
2019,London,A215,Major,LA Boundary,A2217,51.469239,-0.09234116,0.5,1453,18868
2019,London,A215,Major,A212 Church Road,A212 Grange Road,51.410704,-0.08730109,0.1,150,17348
2019,London,A219,Major,A205,A3209,51.463984,-0.21550622,0.5,1022,19799
2019,London,A221,Major,A207,A220,51.457496,0.14972126,0.4,8,7694
2019,London,A222,Major,A20(T),A2001,51.419816,0.09910752,0.7,79,27669
2019,London,A222,Major,A214,A234,51.403558,-0.03583973,1.3,195,19751
2019,London,A222,Major,A222 Cherry Orchard Rd,A215,51.379044,-0.07597565,1.7,223,19968
2019,London,A232,Major,A237,LA Boundary,51.369212,-0.13529171,2.3,117,27138
2019,London,A233,Major,A232,A21,51.375287,0.03982356,1.4,69,11050
2019,London,A234,Major,A222,A123,51.412799,-0.05068711,1.6,341,14236
2019,London,A236,Major,A23,LA Boundary,51.390398,-0.13299315,1.1,318,22771
2019,London,A238,Major,A298,A219,51.413899,-0.20393939,1.9,485,14442
2019,London,A239,Major,A239 Cranmer rd,A236,51.39939,-0.1613794,0.3,91,15937
2019,London,A243,Major,A3210,A307,51.389243,-0.30551469,1.2,334,13926
2019,London,A300,Major,A3202,A3201,51.500815,-0.09865919,0.5,2459,5109
2019,London,A201,Major,Elephant And Castle,A302,51.496619,-0.10220501,0.4,1537,11498
2019,London,A305,Major,A311,A310,51.4452,-0.33222485,0.7,920,14896
2019,London,A307,Major,A307 Kingsgate Rd,LA Boundary,51.416702,-0.30147947,2,432,21840
2019,London,A308,Major,A3220,A4,51.491641,-0.17207541,1.9,1194,17888
